Date,Open,High,Low,Close,Adj Close,Volume
2023-10-05, 103.70 , 104.36 , 99.61 , 102.97 , 102.97 ," 2,824,100.00 "
2023-10-06, 101.63 , 104.97 , 101.11 , 103.88 , 103.88 ," 2,461,700.00 "
2023-10-09, 102.73 , 102.77 , 98.01 , 101.84 , 101.84 ," 3,170,700.00 "
2023-10-10, 101.95 , 104.84 , 101.50 , 104.43 , 104.43 ," 2,245,300.00 "
2023-10-11, 104.96 , 105.94 , 102.43 , 102.76 , 102.76 ," 2,095,400.00 "
2023-10-12, 102.00 , 102.81 , 100.31 , 100.78 , 100.78 ," 2,749,200.00 "
2023-10-13, 100.00 , 100.59 , 97.56 , 98.30 , 98.30 ," 3,370,900.00 "
2023-10-16, 95.30 , 96.65 , 90.18 , 91.94 , 91.94 ," 9,062,600.00 "
2023-10-17, 90.38 , 91.69 , 86.24 , 86.33 , 86.33 ," 8,604,500.00 "
2023-10-18, 85.55 , 87.55 , 85.10 , 86.01 , 86.01 ," 4,690,800.00 "
2023-10-19, 85.81 , 86.89 , 80.48 , 82.37 , 82.37 ," 6,495,600.00 "
2023-10-20, 82.13 , 82.45 , 79.71 , 80.40 , 80.40 ," 5,460,100.00 "
2023-10-23, 79.15 , 80.82 , 78.28 , 78.64 , 78.64 ," 4,584,200.00 "
2023-10-24, 78.81 , 81.62 , 78.81 , 79.76 , 79.76 ," 3,194,800.00 "
2023-10-25, 78.55 , 78.82 , 75.89 , 76.76 , 76.76 ," 3,607,800.00 "
2023-10-26, 76.73 , 77.22 , 75.44 , 75.98 , 75.98 ," 3,429,800.00 "
2023-10-27, 75.90 , 76.56 , 71.55 , 71.91 , 71.91 ," 5,440,800.00 "
2023-10-30, 71.88 , 74.40 , 71.80 , 74.07 , 74.07 ," 4,228,400.00 "
2023-10-31, 72.91 , 76.15 , 72.65 , 75.96 , 75.96 ," 3,777,300.00 "
2023-11-01, 75.22 , 77.00 , 74.62 , 76.20 , 76.20 ," 4,139,000.00 "
2023-11-02, 64.35 , 73.30 , 62.55 , 71.23 , 71.23 ," 16,648,600.00 "
2023-11-03, 73.09 , 79.25 , 73.04 , 77.53 , 77.53 ," 8,877,300.00 "
2023-11-06, 78.04 , 79.06 , 71.70 , 72.07 , 72.07 ," 6,003,000.00 "
2023-11-07, 72.22 , 73.72 , 71.34 , 73.66 , 73.66 ," 4,003,500.00 "
2023-11-08, 73.65 , 73.67 , 70.11 , 71.34 , 71.34 ," 4,526,100.00 "
2023-11-09, 71.74 , 71.80 , 68.95 , 69.51 , 69.51 ," 3,651,300.00 "
2023-11-10, 69.60 , 70.28 , 67.85 , 70.05 , 70.05 ," 3,971,900.00 "
2023-11-13, 69.59 , 70.26 , 67.62 , 70.21 , 70.21 ," 3,170,100.00 "
2023-11-14, 73.62 , 74.75 , 72.99 , 74.10 , 74.10 ," 4,445,500.00 "
